source,target,weight
Newnan Park and Ride,Union City Park and Ride,17.536
Union City Park and Ride,Central Ave at Garnett St,13.085
Union City Park and Ride,Newnan Park and Ride,17.536
Central Ave at Garnett St,Central Ave at Mitchell St,0.157
Central Ave at Mitchell St,MLK Jr Dr at Peachtree St,0.177
MLK Jr Dr at Peachtree St,Peachtree St at Five Points Station,0.137
MLK Jr Dr at Peachtree St,Forsyth St at MLK Jr Dr,0.129
Peachtree St at Five Points Station,Wall St at Central Ave,0.124
Wall St at Central Ave,Peachtree Center Ave at Auburn Ave,0.233
Peachtree Center Ave at Auburn Ave,Peachtree Center Ave at John Wesley Dobbs Ave,0.122
Peachtree Center Ave at Auburn Ave,Baker St at Peachtree St,0.493
Peachtree Center Ave at John Wesley Dobbs Ave,Peachtree Center Ave at Andrew Young Int'l Blvd,0.178
Peachtree Center Ave at Andrew Young Int'l Blvd,Baker St at Peachtree St,0.199
Peachtree Center Ave at Andrew Young Int'l Blvd,Peachtree Center Ave at Peachtree St,0.268
Baker St at Peachtree St,Ted Turner Dr at West Peachtree Pl,0.155
Baker St at Peachtree St,Baker St at Williams St,0.186
Baker St at Peachtree St,Ted Turner Drive at West Peachtree Place,0.155
Ted Turner Dr at West Peachtree Pl,Civic Center Station (NB),0.212
Ted Turner Dr at West Peachtree Pl,Civic Center Station (SB),0.17
Civic Center Station (NB),North Ave Station,0.359
North Ave Station,West Peachtree St at 5th St,0.294
West Peachtree St at 5th St,West Peachtree St at Peachtree Pl,0.309
West Peachtree St at 5th St,West Peachtree Street at Peachtree Place,0.309
West Peachtree St at Peachtree Pl,West Peachtree St at 12th St,0.236
West Peachtree St at 12th St,West Peachtree St after 14 St,0.23
West Peachtree St after 14 St,Arts Center  Station,0.127
Arts Center  Station,Spring St at 17th St,0.125
Arts Center  Station,Mall of Georgia Park and Ride,30.162
Arts Center  Station,Sugarloaf Mills GCT Park and Ride,21.986
Arts Center  Station,17th St at Spring St,0.205
Spring St at 17th St,Spring St at 5th St,0.919
Spring St at 5th St,Spring St just before Linden Ave,0.47
Spring St just before Linden Ave,Civic Center Station (SB),0.292
Spring St just before Linden Ave,Dacula Park and Ride (Hebron Church),31.834
Spring St just before Linden Ave,Panola Rd Park and Ride,13.247
Spring St just before Linden Ave,Cumming Park and Ride,31.752
West Douglas Park and Ride,Douglas MMTC Park and Ride,3.052
Douglas MMTC Park and Ride,Ted Turner Dr (N) at Brotherton St,18.86
Douglas MMTC Park and Ride,West Douglas Park and Ride,3.052
Ted Turner Dr (N) at Brotherton St,Ted Turner Dr at Mitchell St,0.261
Ted Turner Dr at Mitchell St,Mitchell St at Forsyth St,0.077
Mitchell St at Forsyth St,Mitchell St at Peachtree St,0.095
Mitchell St at Peachtree St,Central Ave at MLK Jr Dr,0.22
Central Ave at MLK Jr Dr,Central Ave at Wall St,0.094
Central Ave at Wall St,Peachtree Center Ave at Auburn Ave,0.24
