,stop_1,stop_2,stop1_lat,stop1_lon,stop2_lat,stop2_lon,hav_distance
0,Newnan Park and Ride,Union City Park and Ride,33.403708,-84.723119,33.58684,-84.512402,17.536
1,Union City Park and Ride,Central Ave at Garnett St,33.58684,-84.512402,33.747592,-84.392123,13.085
2,Central Ave at Garnett St,Central Ave at Mitchell St,33.747592,-84.392123,33.749524,-84.3907,0.157
3,Central Ave at Mitchell St,MLK Jr Dr at Peachtree St,33.749524,-84.3907,33.751933,-84.391726,0.177
4,MLK Jr Dr at Peachtree St,Peachtree St at Five Points Station,33.751933,-84.391726,33.753571,-84.390377,0.137
5,Peachtree St at Five Points Station,Wall St at Central Ave,33.753571,-84.390377,33.752609,-84.388563,0.124
6,Wall St at Central Ave,Peachtree Center Ave at Auburn Ave,33.752609,-84.388563,33.755261,-84.386054,0.233
8,Peachtree Center Ave at Auburn Ave,Peachtree Center Ave at John Wesley Dobbs Ave,33.755261,-84.386054,33.757033,-84.386033,0.122
10,Peachtree Center Ave at John Wesley Dobbs Ave,Peachtree Center Ave at Andrew Young Int'l Blvd,33.757033,-84.386033,33.759602,-84.386002,0.178
11,Peachtree Center Ave at Andrew Young Int'l Blvd,Baker St at Peachtree St,33.759602,-84.386002,33.762306,-84.38718,0.199
12,Peachtree Center Ave at Andrew Young Int'l Blvd,Baker St at Peachtree St,33.759602,-84.386002,33.762347,-84.387038,0.199
14,Baker St at Peachtree St,Ted Turner Dr at West Peachtree Pl,33.762306,-84.38718,33.763941,-84.388931,0.151
15,Baker St at Peachtree St,Ted Turner Dr at West Peachtree Pl,33.762347,-84.387038,33.763941,-84.388931,0.155
17,Ted Turner Dr at West Peachtree Pl,Civic Center Station (NB),33.763941,-84.388931,33.766731,-84.387403,0.212
18,Civic Center Station (NB),North Ave Station,33.766731,-84.387403,33.771924,-84.387247,0.359
19,North Ave Station,West Peachtree St at 5th St,33.771924,-84.387247,33.776185,-84.387253,0.294
21,West Peachtree St at 5th St,West Peachtree St at Peachtree Pl,33.776185,-84.387253,33.780654,-84.387333,0.309
23,West Peachtree St at Peachtree Pl,West Peachtree St at 12th St,33.780654,-84.387333,33.784058,-84.387762,0.236
24,West Peachtree St at 12th St,West Peachtree St after 14 St,33.784058,-84.387762,33.787383,-84.387706,0.23
25,West Peachtree St after 14 St,Arts Center  Station,33.787383,-84.387706,33.789216,-84.387692,0.127
26,Arts Center  Station,Spring St at 17th St,33.789216,-84.387692,33.790321,-84.38942,0.125
27,Spring St at 17th St,Spring St at 5th St,33.790321,-84.38942,33.777026,-84.388905,0.919
28,Spring St at 5th St,Spring St just before Linden Ave,33.777026,-84.388905,33.770226,-84.38896,0.47
29,West Douglas Park and Ride,Douglas MMTC Park and Ride,33.723283,-84.773527,33.743237,-84.726142,3.052
30,Douglas MMTC Park and Ride,Ted Turner Dr (N) at Brotherton St,33.743237,-84.726142,33.748891,-84.397938,18.86
