node,betweenness,pagerank
Civic Center Station (West Peachtreet Street),0.015955497880540587,0.0018688867381316942
WEST END STATION,0.2584023580571692,0.0008486580819931893
KENSINGTON STATION,0.1105679147699381,0.0008076446948559027
NORTH SPRINGS STATION,0.050698952460751096,0.000731661691893596
Sugarloaf Mills P&R,1.065200269367844e-07,0.0007274424305999726
I-85 @ Indian Trail P&R,0.00022289315636522136,0.0006982252190794621
I-985 @ SR20 P&R,0.0,0.0006957801804513914
OAKLAND CITY STATION,0.19890030144457485,0.00061875214215891
EAST POINT STATION,0.12912295021356404,0.0006077799467339071
N DECATUR RD @ CHURCH ST,0.040415927531808324,0.0005840327755632154
Marietta Transfer Center,0.01397483406538461,0.0005793931196137146
LAKEWOOD/FT MCPHERSON STATION,0.02692821715817898,0.0005280049308951939
GOLDSMITH PARK & RIDE,0.005738926231259665,0.0005085282859494414
OLD NATIONAL HWY @ SULLIVAN RD,0.014805576146891238,0.0005064972119220916
COLLIER DR NW @ LARCHMONT DR NW,0.015396024264775186,0.00048107941062947853
CASCADE RD SW @ KINGSDALE DR SW,0.009110992681130685,0.0004768897238639388
LYNHURST DR SW @ HAZELWOOD DR SW,0.015396617733496692,0.0004660855875196862
CANDLER RD @ S RAINBOW DR,0.025287402952773694,0.000461482665316231
LAMAR HUTCHESON PKWY @ ROBERTS DR,0.004912171042189813,0.00045915930016894347
FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),0.053889021836027264,0.00044800532078964676
ASHBY STATION,0.0624387985380948,0.00043642584251319614
DORAVILLE STATION,0.07285791801859602,0.0004336208622859848
Austell Rd at Arkose Dr,0.006119819021865548,0.00042515784249152686
LAKEWOOD WAY SW @ HILLTOP DR SW,0.014726827412691544,0.00041963142380319263
Mableton Pkwy at Old Powder Springs Rd,0.0025156378247259215,0.00041914832168334207
NORTH AVE STATION,0.01063946376479331,0.00041909521410702727
BANKHEAD STATION,0.06716659863080374,0.0004188872645589647
Sugarloaf Mills P&R Local,0.012295880617953718,0.00041744749862877774
BARGE RD SW @ CAMPBELLTON RD SW,0.010316616780294623,0.00041595982366890726
MEMORIAL DR SE @ CANDLER RD SE,0.020305433394837997,0.00040817905636310114
METROPOLITAN PKWY SW @ CLAIRE DR SW,0.007649340088650835,0.00040153268410301666
WINDWARD PKWY @ NORTH POINT PKWY,0.001417340261274148,0.00039851314786052035
ARTS CENTER STATION,0.17630087811153747,0.00039530604658624425
COVINGTON HWY @ MARGARETTE DR,0.017438454478407795,0.00039477702366271173
LINDBERGH CENTER STATION,0.1394586137891514,0.0003915809001392004
Arts Center MARTA Station,0.014921310156158054,0.00038769812883019593
RALPH D ABERNATHY BLVD @ W WHITEHALL ST,0.04947773078621427,0.00038396314583707074
GRTA - PANOLA PARK & RIDE,0.006245931125185348,0.00038354318396137426
BROOKHAVEN/OGLETHORPE STATION,0.012204912514949704,0.00037790192319861075
PRYOR RD SW @ RIDGE AVE SW,0.01907006738243864,0.0003753153807353816
MIDTOWN STATION,0.11310982753464176,0.0003744133752780101
TARA BLVD @ SR 54,0.010336596893918621,0.0003721311477878806
GREENBRIAR PKWY @ THE FONTAINEBLEAU,0.018906817832584664,0.0003721150343087908
LINDBERGH CENTER STATION - NORTH LOOP/MOROSGO DR,0.01938846335152604,0.00036933985087266193
N PEACHTREE RD @ PEACHTREE INDUSTRIAL BLVD,0.012679854880767416,0.00036891545006191296
17th Street Northwest at Market Street Northwest,0.00010626133544279507,0.00036764142182258406
CHURCH ST @ SYCAMORE DR,0.023957761644153048,0.0003668082235540236
1762 Clifton Road,6.377506184172334e-05,0.0003656246495156937
PRINCETON LAKES PKWY @ CAMP CREEK PKWY,0.003734105195709093,0.00036411713558294153
BOULEVARD SE @ ENGLEWOOD AVE SE,0.015863578705867496,0.00036343967508504745
HOLLYWOOD RD @ BURTZ ST,0.005211073846347783,0.00036174694423629443
Sugarloaf Mills Cir & Bass Pro Shop,0.007104794493803288,0.000360356571636058
MORELAND AVE SE @ EASTLAND RD SE,0.022041527228147118,0.0003590107732611062
Cobb Pkwy at Windy Hill Rd,0.0028946360805670005,0.0003588195722749079
Gwinnett Transit Center,0.013239602405173512,0.0003570127936190714
AIRPORT INTERNATIONAL TERMINAL - ARRIVALS,0.010529367708380791,0.00035198726049772387
LINDBERGH DR NE @ MELANTE DR NE,0.009130721711834048,0.00035172165269076297
